Country.Code,Years,TotalGHGEmission.percapita,GDP,SelfHarm.inc.rate
AFG,2000,1.15978245162138e-06,174.9309914,37.91253706
AFG,2001,1.0667162550833e-06,138.7068217,37.84270604
AFG,2002,1.13144202550674e-06,178.9540884,37.63791964
AFG,2003,1.08952389096597e-06,198.8711157,37.2965987
AFG,2004,1.04957188370068e-06,221.7636539,36.95969164
AFG,2005,1.02450086494057e-06,254.1842491,36.67794579
AFG,2006,9.91048097918455e-07,274.2185536,36.35059048
AFG,2007,1.01459861677326e-06,376.223152,35.98862648
AFG,2008,1.11575809978332e-06,381.733238,35.62931576
AFG,2009,1.18306926782218e-06,452.0537055,35.24537401
AFG,2010,1.28581479148931e-06,560.6215055,34.89970154
AFG,2011,1.37822687890993e-06,606.6946763,34.56734941
AFG,2012,1.25406601314645e-06,651.4171345,34.20682081
AFG,2013,1.16010003445626e-06,637.0870991,33.87631739
AFG,2014,1.12376836634375e-06,625.0549418,33.61218681
AFG,2015,1.0888997688681e-06,565.5697304,33.45445196
AFG,2016,1.0393217272364e-06,522.0822156,33.41336167
AFG,2017,1.04018234223016e-06,525.4697709,33.43873572
AFG,2018,1.00656889050467e-06,491.3372214,33.49578695
AFG,2019,9.61902567883276e-07,496.6025043,33.55618494
AFG,2020,9.23428277969588e-07,510.7870634,34.03134365
ALB,2000,2.77747653225433e-06,1126.68334,51.68325156
ALB,2001,2.86500142312216e-06,1281.659826,53.05031414
ALB,2002,3.07747270575973e-06,1425.124219,54.34470161
ALB,2003,3.15118751842338e-06,1846.120121,55.54672931
ALB,2004,3.23333241931866e-06,2373.581292,56.62930214
ALB,2005,3.11387696510063e-06,2673.787816,57.56642628
ALB,2006,3.14872247620505e-06,2972.743621,58.47277659
ALB,2007,3.15722098560379e-06,3595.038295,59.40453609
ALB,2008,3.10842346624757e-06,4370.539716,60.24875146
ALB,2009,3.12230253672137e-06,4114.134033,60.89344803
ALB,2010,3.27776559111658e-06,4094.349686,61.22623065
ALB,2011,4.39874087625788e-06,4437.141161,61.1075312
ALB,2012,4.64053074040452e-06,4247.631343,60.62217545
ALB,2013,3.35896061334148e-06,4413.063383,59.9948256
ALB,2014,3.49578969812094e-06,4578.633208,59.45350541
ALB,2015,3.48522565498769e-06,3952.803574,59.22547891
ALB,2016,3.35749683338659e-06,4124.05539,59.65937225
ALB,2017,3.64164140963307e-06,4531.032207,60.63104635
ALB,2018,3.64669533934138e-06,5365.489347,61.67347031
ALB,2019,3.47510029987482e-06,5460.428237,62.30542836
ALB,2020,3.26564239323516e-06,5370.778623,62.7092877
DZA,2000,4.85976637312328e-06,1772.928691,41.27253154
DZA,2001,4.45460775371633e-06,1896.300209,40.75608401
DZA,2002,4.3818249189352e-06,1937.464114,40.19263216
DZA,2003,4.75357922524301e-06,2283.772993,39.5997183
DZA,2004,4.63121476868261e-06,2816.99385,38.99453674
DZA,2005,4.72195548742286e-06,3233.133396,38.39473876
DZA,2006,4.89812097524868e-06,3660.661047,37.74421489
DZA,2007,4.81082508107187e-06,4167.451699,37.02586404
DZA,2008,4.95801457226551e-06,5180.918815,36.31476716
DZA,2009,4.75662111309114e-06,4235.429905,35.68585446
DZA,2010,4.88480289561503e-06,4912.785855,35.21352784
DZA,2011,4.97204916970198e-06,5916.313644,34.8366023
DZA,2012,5.30736649251347e-06,6033.648847,34.47028146
DZA,2013,5.33119665656718e-06,5979.60139,34.15341666
DZA,2014,5.55383567991567e-06,6094.693923,33.92623416
DZA,2015,5.69810804120158e-06,4685.059027,33.82743569
DZA,2016,5.53128548208488e-06,4424.98529,33.9306246
DZA,2017,5.54156355567408e-06,4554.66754,34.21206503
DZA,2018,5.64063292736966e-06,4577.210292,34.56565272
DZA,2019,5.68793122348482e-06,4468.453419,34.88634876
DZA,2020,5.29003039387935e-06,3743.541952,35.36358232
AGO,2000,6.61232888021509e-06,563.7337956,32.4299684
AGO,2001,6.26386798324831e-06,533.5862024,32.26920753
AGO,2002,5.94819889242074e-06,882.1478472,32.05865983
AGO,2003,5.7539878036384e-06,992.6989793,31.8273755
AGO,2004,5.83032439638604e-06,1266.210864,31.60461132
AGO,2005,5.52123845734324e-06,1916.468422,31.41941102
AGO,2006,4.95350576926757e-06,2617.05196,31.24936192
AGO,2007,4.7045558159682e-06,3141.04598,31.0645822
AGO,2008,4.68732180017707e-06,4103.0669,30.88412429
AGO,2009,4.58688116092008e-06,3136.64547,30.72720959
AGO,2010,4.7131025882358e-06,3597.342932,30.61229721
AGO,2011,5.74277308381677e-06,4615.910598,30.53575554
AGO,2012,5.60060346197863e-06,5086.027401,30.48391763
AGO,2013,5.5653601940256e-06,5057.747878,30.46357597
AGO,2014,5.43902862249592e-06,5005.999741,30.48183514
AGO,2015,5.40295800119029e-06,3213.902611,30.54593656
AGO,2016,5.11621635420811e-06,1807.952941,30.68366523
AGO,2017,4.7571313344847e-06,2437.259712,30.89445097
AGO,2018,4.47050858137105e-06,2538.591391,31.14369727
AGO,2019,4.33413624172649e-06,2189.855714,31.39628582
AGO,2020,3.94873632378121e-06,1449.922867,31.85300333
ATG,2000,2.47623878684323e-06,12021.46321,12.1055528
ATG,2001,2.4057106048456e-06,11535.77429,12.22909144
ATG,2002,2.60541073839443e-06,11657.34875,12.37059183
ATG,2003,2.76179959940424e-06,12171.37738,12.51709318
ATG,2004,2.77823651215081e-06,13036.00759,12.655576
ATG,2005,2.82749871248948e-06,14366.29128,12.77298962
