Country.Code,Years,PM2.5.Exposure,GDP,SelfHarm.inc.rate
AFG,2000,64.76727982,174.9309914,37.91253706
AFG,2001,64.59757272,138.7068217,37.84270604
AFG,2002,64.41688801,178.9540884,37.63791964
AFG,2003,64.17623142,198.8711157,37.2965987
AFG,2004,63.82660868,221.7636539,36.95969164
AFG,2005,63.31902553,254.1842491,36.67794579
AFG,2006,61.51464943,274.2185536,36.35059048
AFG,2007,58.08378502,376.223152,35.98862648
AFG,2008,54.19114381,381.733238,35.62931576
AFG,2009,51.00143731,452.0537055,35.24537401
AFG,2010,49.67937703,560.6215055,34.89970154
AFG,2011,61.81705591,606.6946763,34.56734941
AFG,2012,70.92231651,651.4171345,34.20682081
AFG,2013,73.1318159,637.0870991,33.87631739
AFG,2014,77.14372755,625.0549418,33.61218681
AFG,2015,73.49081763,565.5697304,33.45445196
AFG,2016,72.76591014,522.0822156,33.41336167
AFG,2017,65.862347,525.4697709,33.43873572
AFG,2018,67.22717748,491.3372214,33.49578695
AFG,2019,58.33087223,496.6025043,33.55618494
AFG,2020,46.08709367,510.7870634,34.03134365
ALB,1990,22.96157928,617.2304355,39.13170645
ALB,1991,22.70311049,336.5869945,39.45736075
ALB,1992,22.4828964,200.8522198,40.0003505
ALB,1993,22.29713188,367.2792251,40.71409388
ALB,1994,22.14201178,586.4161351,41.55166278
ALB,1995,22.01373098,750.6044492,42.46526464
ALB,1996,21.95188313,1009.977111,43.79980842
ALB,1997,21.97760117,717.3800477,45.72324948
ALB,1998,22.0593889,813.7893966,47.89686387
ALB,1999,22.1657501,1033.242532,49.98608044
ALB,2000,22.26518857,1126.68334,51.68325156
ALB,2001,22.36600621,1281.659826,53.05031414
ALB,2002,22.48278512,1425.124219,54.34470161
ALB,2003,22.59344935,1846.120121,55.54672931
ALB,2004,22.67592295,2373.581292,56.62930214
ALB,2005,22.70812997,2673.787816,57.56642628
ALB,2006,22.5109696,2972.743621,58.47277659
ALB,2007,22.04122997,3595.038295,59.40453609
ALB,2008,21.48066857,4370.539716,60.24875146
ALB,2009,21.01104291,4114.134033,60.89344803
ALB,2010,20.81411047,4094.349686,61.22623065
ALB,2011,22.79990425,4437.141161,61.1075312
ALB,2012,20.96272041,4247.631343,60.62217545
ALB,2013,19.40753225,4413.063383,59.9948256
ALB,2014,19.36794422,4578.633208,59.45350541
ALB,2015,19.12155731,3952.803574,59.22547891
ALB,2016,17.60216399,4124.05539,59.65937225
ALB,2017,18.55524382,4531.032207,60.63104635
ALB,2018,19.04618623,5365.489347,61.67347031
ALB,2019,15.70470712,5460.428237,62.30542836
ALB,2020,15.70700364,5370.778623,62.7092877
DZA,1990,22.35936995,2445.183327,43.20891732
DZA,1991,22.73088781,1759.112016,43.45569553
DZA,1992,23.1553408,1802.693008,43.61434238
DZA,1993,23.62641851,1831.04801,43.70221086
DZA,1994,24.13781054,1525.540618,43.73301987
DZA,1995,24.68320649,1466.948068,43.72120168
DZA,1996,25.41090842,1616.831987,43.52364356
DZA,1997,26.335955,1628.761006,43.06854414
DZA,1998,27.25214078,1603.366232,42.46904876
DZA,1999,27.95326031,1596.118222,41.83323237
DZA,2000,28.23310812,1772.928691,41.27253154
DZA,2001,28.13193067,1896.300209,40.75608401
DZA,2002,27.8679443,1937.464114,40.19263216
DZA,2003,27.50189844,2283.772993,39.5997183
DZA,2004,27.09454247,2816.99385,38.99453674
DZA,2005,26.70662581,3233.133396,38.39473876
DZA,2006,26.33557009,3660.661047,37.74421489
DZA,2007,25.93054224,4167.451699,37.02586404
DZA,2008,25.47990961,5180.918815,36.31476716
DZA,2009,24.97203955,4235.429905,35.68585446
DZA,2010,24.39529939,4912.785855,35.21352784
DZA,2011,23.57210779,5916.313644,34.8366023
DZA,2012,24.39681643,6033.648847,34.47028146
DZA,2013,22.38026402,5979.60139,34.15341666
DZA,2014,24.11112295,6094.693923,33.92623416
DZA,2015,25.61886583,4685.059027,33.82743569
DZA,2016,25.55315255,4424.98529,33.9306246
DZA,2017,24.75214578,4554.66754,34.21206503
DZA,2018,24.93359006,4577.210292,34.56565272
DZA,2019,24.38860864,4468.453419,34.88634876
DZA,2020,25.55265583,3743.541952,35.36358232
ASM,2002,6.74783747,8972.696365,45.44033101
ASM,2003,6.72087595,9197.661968,45.23852302
ASM,2004,6.688961261,8958.428667,45.08392945
ASM,2005,6.651561073,8831.26976,45.02562148
ASM,2006,6.599521431,8745.166211,45.09440287
ASM,2007,6.522755649,9231.372409,45.26669038
ASM,2008,6.419332302,10030.80891,45.51392509
ASM,2009,6.287319968,12156.02939,45.8076989
ASM,2010,6.124787222,10375.17201,46.11872664
ASM,2011,5.787132649,10383.45933,46.51209589
ASM,2012,5.899522844,11745.48992,47.03507557
ASM,2013,6.036480597,11813.5022,47.6335721
ASM,2014,6.38148164,12026.33449,48.25383302
ASM,2015,6.345876885,12727.41027,48.84254604
ASM,2016,6.929692827,12843.33429,49.48811443
ASM,2017,6.923399181,11863.68395,50.22384151
ASM,2018,6.981745567,12552.05469,50.90948231
ASM,2019,6.728531738,12886.13595,51.40521838
ASM,2020,6.715147395,14489.25866,51.68347335
AND,1990,16.82718511,19563.65747,80.23157258
AND,1991,16.45786883,19533.26207,80.32671556
AND,1992,16.14398058,20099.53522,80.3915236
AND,1993,15.88739776,15916.83952,80.31673931
AND,1994,15.68999774,15748.53075,80.30730662
AND,1995,15.5536579,18443.25452,80.29327046
AND,1996,15.57228332,19130.15972,80.20519279
AND,1997,15.76247253,18247.99957,79.86033345
AND,1998,16.01014313,18536.50843,79.52531347
AND,1999,16.20121271,18875.28837,79.05035207
AND,2000,16.22159887,21810.24874,78.61042664
AND,2001,16.03989638,23511.29515,77.94154743
AND,2002,15.73220439,26528.13016,76.85243758
AND,2003,15.34569712,34063.5784,75.62236388
AND,2004,14.92754875,39021.12781,74.3716695
AND,2005,14.5249335,40829.80188,73.4137565
AND,2006,14.05871522,43467.21099,72.49506956
AND,2007,13.49523551,48336.22833,71.58976924
AND,2008,12.94988519,49132.51571,70.79654575
AND,2009,12.53805507,43975.01837,70.1090443
AND,2010,12.37513595,42746.83095,69.59906535
AND,2011,13.47329485,46657.15612,69.36100583
